Site Name,Site Category,Site Subcategory,County,State,Provider #,Address,City,ZIP,Telephone #,# Direct Care Prsnl. FTEs,Total FTEs,# of Physician FTEs,# of Physician Assistant FTEs,# of Nurse Practitioner FTEs,# of Other Prsnl. FTEs,# of Beds,# of Certified Beds,# of SNF Beds Medicaid,# of SNF Beds,# of SNF Beds Medicare,# of Operating Rooms,# of IC/MR Beds,Is Federally Funded Health Center Site,Is Hospital-Based Site,Type,Is Rural Health Clinic Site,Approved RHC Provider #,State County FIPS Code,HHS Region,U.S. Senator Name (1),U.S. Senator Name (2),U.S. Congressional Representative Name,In U.S./Mex. Border 100 KM Area,In U.S./Mex. Border County,Rural Status,Longitude,Latitude
"PATHWAYS HEALTHCARE, LLC",Home Health Agency,Home Health Agency,Providence County,RI,417071,"75 Sockanosset Cross Rd, Ste 210",Cranston,02920-5558,617-481-9077,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Combination Government Voluntary,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.45440291,41.75391187
PINNACLE HOME CARE LLC,Home Health Agency,Home Health Agency,Kent County,RI,417066,57 Kilvert St STE 105,Warwick,02886-1054,401-921-3133,,,,,,11.2,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.44013221,41.72904403
"NURSING PLACEMENT HOSPICE & PALLIATIVE CARE, LLC",Hospice,Hospice,Providence County,RI,411508,334 East Ave,Pawtucket,02860-3889,401-728-6500,,10,0,,,0.25,,,,,,,,Not Applicable,Not Applicable,Home Health Agency,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.38704551,41.8697836
REHABILITATION HOSPITAL OF RHODE ISLAND,Hospital,Rehabilitation,Providence County,RI,413025,116 Eddie Dowling Hwy,North Smithfield,02896-7327,401-766-0800,,,0.5,0,0,74.05,40.00,40.00,,,,0.00,,Not Applicable,Not Applicable,Rehabilitation,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.51412967,41.98122976
"PROSPECT CHARTERCARE HOME HEALTH AND HOSPICE, LLC",Home Health Agency,Home Health Agency,Providence County,RI,417029,50 Maude St,Providence,02908-4325,401-456-2273,,,,,,15,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.43394377,41.83698617
ALPINE NURSING HOME INC,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Kent County,RI,415089,557 Weaver Hill Rd,Coventry,02816-4679,401-397-5001,,,,,,,60.00,60.00,0.00,60.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.66646749,41.66625699
BETHANY HOME OF RHODE ISLAND,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415096,111 S Angell St,Providence,02906-5309,401-831-2870,,,,,,,33.00,33.00,0.00,33.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.38342596,41.82915911
CRYSTAL LAKE REHABILITATION AND CARE CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415099,999 S Main St,Pascoag,02859-3522,401-568-3091,,,,,,,71.00,71.00,0.00,71.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.68102182,41.93659768
ST CLARE HOME,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Newport County,RI,415111,309 Spring St,Newport,02840-6858,401-849-3204,,,,,,,50.00,50.00,0.00,50.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.31288495,41.48252358
KINGSTON CENTER FOR REHABILITATION AND HEALTH CARE,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Washington County,RI,415107,415 Gardiner Rd,West Kingston,02892-1047,401-295-8520,,,,,,,55.00,55.00,0.00,55.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.61729346,41.54675548
STEERE HOUSE NURSING AND REHABILITATION CTR,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415091,100 Borden St,Providence,02903-4803,401-454-7970,,,,,,,120.00,120.00,0.00,120.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.41165352,41.81329699
GREENVILLE SKILLED NURSING AND REHABILITATION,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415087,735 Putnam Pike,Greenville,02828-1435,401-949-1200,,,,,,,131.00,131.00,0.00,131.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.57499704,41.881336
SOUTH COUNTY HOME HEALTH,Home Health Agency,Home Health Agency,Washington County,RI,417023,14 Woodruff Ave STE 7,Narragansett,02882-3467,401-782-0500,,,,,,34.6,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.48194819,41.43099553
"BAYSIDE ENDOSCOPY, LLC",Ambulatory Surgical Center,Ambulatory Surgical Center,Providence County,RI,41C0001003,33 Staniford St FL 1,Providence,02905-3105,401-274-1810,,,,,,,,,,,,6.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.41161178,41.8083515
CHERRY HILL MANOR,Skilled Nursing Facilities/Nursing Facility (Distinct Part),Title 18/19,Providence County,RI,415053,2 Cherry Hill Rd,Johnston,02919-2687,401-231-3102,,,,,,,172.00,172.00,0.00,170.00,2.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.48195841,41.83683073
THE PROVIDENCE COMMUNITY HEALTH CENTERS INC,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411800,278 Thurbers Ave,Providence,02905-1716,401-780-2511,,,,,,,,,,,,,,Yes,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.41092606,41.79891704
THE PROVIDENCE COMMUNITY HEALTH CENTERS INC,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411856,335 Prairie Ave FL 2,Providence,02905-1924,401-444-0400,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.41462189,41.80504467
THE PROVIDENCE COMMUNITY HEALTH CENTERS INC,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411806,434 Mount Pleasant Ave,Providence,02908-3302,401-780-2511,,,,,,,,,,,,,,Yes,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.45198682,41.83964768
THE PROVIDENCE COMMUNITY HEALTH CENTERS INC.,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411831,31 Atwood St,Providence,02909-3410,401-444-0590,,,,,,,,,,,,,,Yes,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.4444266,41.81514465
THUNDERMIST HEALTH CENTER,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411805,450 Clinton St,Woonsocket,02895-3207,401-767-4163,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.50628756,42.00688626
THUNDERMIST HEALTH CENTER OF WEST WARWICK,Federally Qualified Health Center,Federally Qualified Health Center,Kent County,RI,411815,186 Providence St,West Warwick,02893-2508,401-615-2800,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.51510968,41.71452552
THUNDERMIST HEALTH CENTER- TRI-HAB INC,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411828,58 Hamlet Ave,Woonsocket,02895-4423,401-767-4163,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.50643516,42.00225958
THUNDERMIST HEALTH CTR HLTH HUT DEERING MS,Federally Qualified Health Center,Federally Qualified Health Center,Kent County,RI,411822,2 Webster Knight Dr,West Warwick,02893-2743,401-615-2900,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.51521739,41.70869465
THUNDERMIST HEALTH CTR OF SO COUNTY,Federally Qualified Health Center,Federally Qualified Health Center,Washington County,RI,411804,1 River St,Wakefield,02879-3214,401-767-4163,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.49729428,41.4415271
THUNDERMIST HLTH CTR SOJOURNER HOUSE,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411827,PO BOX 532,Woonsocket,02895-0532,401-767-4100,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.50444999,42.00294999
THUNDERMIST HLTH CTR SOUP KITCHEN,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411826,Blackstone St,Woonsocket,02895,401-767-4100,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.51810348,42.0066217
ELDERWOOD OF SCALLOP SHELL AT WAKEFIELD,Skilled Nursing Facilities/Nursing Facility (Distinct Part),Title 18/19,Washington County,RI,415057,55 Scallop Shell Way,South Kingstown,02879-3045,401-789-3006,,,,,,,80.00,80.00,0.00,72.00,8.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.49076981,41.45166564
TRAVELERS AID SOCIETY OF RHODE ISLAND,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411832,177 Union St,Providence,02903-3407,401-521-2255,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.41254352,41.82244152
TRI TOWN HEALTH CENTER,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411812,1126 Hartford Ave,Johnston,02919-7109,401-351-2750,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.4860223,41.82232664
TRI-TOWN COMMUNITY HEALTH CENTER OF NO PROVIDENCE,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411847,33 Maple St,North Providence,02911-2415,401-351-2750,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.47944359,41.84809375
ELMHURST REHABILITATION & HEALTHCARE CENTER,Skilled Nursing Facilities/Nursing Facility (Distinct Part),Title 18/19,Providence County,RI,415084,50 Maude St,Providence,02908-4325,401-456-2600,,,,,,,206.00,206.00,0.00,194.00,12.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.43394377,41.83698617
BROWN MEDICINE ENDOSCOPY CENTER,Ambulatory Surgical Center,Ambulatory Surgical Center,Providence County,RI,41C0001018,68 Amaral St,Riverside,02915-2205,401-444-2532,,,,,,,,,,,,3.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.34831333,41.79541696
"BROWN UROLOGY, INC DBA COLLYER STREET OPERATORY",Ambulatory Surgical Center,Ambulatory Surgical Center,Providence County,RI,41C0001014,195 Collyer St STE 104,Providence,02904-1869,401-276-2002,,,,,,,,,,,,2.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.40323147,41.85509519
HEATHERWOOD REHABILITATION & HEALTH CARE CENTER,Skilled Nursing Facilities/Nursing Facility (Distinct Part),Title 18/19,Newport County,RI,415033,398 Bellevue Ave,Newport,02840-6955,401-849-6600,,,,,,,114.00,114.00,0.00,112.00,2.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.30797433,41.47708209
JEANNE JUGAN RESIDENCE,Skilled Nursing Facilities/Nursing Facility (Distinct Part),Title 18/19,Providence County,RI,415073,964 Main St,Pawtucket,02860-4842,401-723-4314,,,,,,,49.00,49.00,0.00,44.00,5.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.39921797,41.86527254
RHODE ISLAND HOSPITAL - TRANSPLANT CENTER,Hospital,Transplant Hospitals,Providence County,RI,419801,593 Eddy St,Providence,02903-4923,401-444-4000,,,0,0,0,0,0.00,0.00,,,,0.00,,Not Applicable,Not Applicable,Data not provided by CMS,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.40713828,41.8112319
MANSION NURSING AND REHAB CENTER,Skilled Nursing Facilities/Nursing Facility (Distinct Part),Title 18/19,Providence County,RI,415097,104 Clay St,Central Falls,02863-3023,401-722-0830,,,,,,,62.00,62.00,30.00,32.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.38984633,41.88331467
VISITING NURSE HOME AND HOSPICE,Hospice,Hospice,Newport County,RI,411506,PO BOX 690,Portsmouth,02871-0690,401-682-2100,,21.91,0.2,,,3.33,,,,,,,,Not Applicable,Not Applicable,Home Health Agency,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.25150997,41.59431
OAKLAND GROVE HEALTH CARE CENTER,Skilled Nursing Facilities/Nursing Facility (Distinct Part),Title 18/19,Providence County,RI,415110,560 Cumberland Hill Rd,Woonsocket,02895-5635,401-769-0800,,,,,,,178.00,178.00,0.00,172.00,6.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.49045875,41.99776767
VNA OF CARE NEW ENGLAND,Hospice,Hospice,Kent County,RI,411505,51 Health Ln,Warwick,02886-2710,401-737-6050,,39,2,,,0,,,,,,,,Not Applicable,Not Applicable,Home Health Agency,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.47906247,41.70773698
WELLONE PRIMARY MEDICAL AND DENTAL CARE,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411841,142A Danielson Pike,Foster,02825-1485,401-647-3702,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.75083621,41.81270569
WELLONE PRIMARY MEDICAL AND DENTAL CARE,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411814,36 Bridge Way,Pascoag,02859-3131,401-568-7664,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.7025815,41.9569463
WELLONE PRIMARY MEDICAL AND DENTAL CARE,Federally Qualified Health Center,Federally Qualified Health Center,Washington County,RI,411816,308 Callahan Rd,North Kingstown,02852-7739,401-285-5119,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.44105364,41.60010651
APPLE REHAB CLIPPER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Washington County,RI,415120,161 Post Rd,Westerly,02891-2673,401-322-8081,,,,,,,60.00,60.00,0.00,60.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.78242399,41.35074254
EAST BAY ENDOSCOPY CENTER LLC,Ambulatory Surgical Center,Ambulatory Surgical Center,Newport County,RI,41C0001013,109 Clock Tower Sq,Portsmouth,02871-1396,401-293-5400,,,,,,,,,,,,1.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.26838115,41.59083721
EAST GREENWICH ENDOSCOPY CENTER,Ambulatory Surgical Center,Ambulatory Surgical Center,Kent County,RI,41C0001009,1407 S County Trl,East Greenwich,02818-1652,401-885-2760,,,,,,,,,,,,4.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.49747038,41.65827088
VISITING NURSE HOME AND HOSPICE,Home Health Agency,Home Health Agency,Newport County,RI,417000,1184 E Main Rd,Portsmouth,02871-2333,401-682-2100,,,,,,57.82,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.25230768,41.56602079
VNA OF CARE NEW ENGLAND,Home Health Agency,Home Health Agency,Kent County,RI,417006,51 Health Ln,Warwick,02886-2710,401-737-6050,,,,,,69,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.47906247,41.70773698
AVALON NURSING HOME INC,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Kent County,RI,415060,57 Stokes St,Warwick,02889-3425,401-738-1200,,,,,,,31.00,31.00,0.00,31.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.37553473,41.71905904
SUMMIT COMMONS REHABILITATION AND HEALTH CARE CNT,Skilled Nursing Facilities/Nursing Facility (Distinct Part),Title 18/19,Providence County,RI,415129,99 Hillside Ave,Providence,02906-2943,401-574-4800,,,,,,,165.00,165.00,0.00,130.00,35.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.39470624,41.85680083
WOOD RIVER HEALTH SERVICES,Federally Qualified Health Center,Federally Qualified Health Center,Washington County,RI,411802,823 Main St,Hope Valley,02832-1920,401-539-2461,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.73594969,41.48924511
WOOD RIVER HEALTH SERVICES INC,Federally Qualified Health Center,Federally Qualified Health Center,Washington County,RI,411830,17 Wells St STE 202,Westerly,02891-2923,401-539-2461,,,,,,,,,,,,,,Yes,Not Applicable,Not Applicable,No,,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.82720456,41.36257469
WOONSOCKET HS HEALTH CLINIC,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411844,777 Cass Ave,Woonsocket,02895-4719,401-767-4700,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.48513951,42.00504727
TRINITY HEALTH AND REHABILITATION CENTER,Skilled Nursing Facilities/Nursing Facility (Distinct Part),Title 18/19,Providence County,RI,415079,4 Saint Joseph St,Woonsocket,02895-5416,401-765-5844,,,,,,,185.00,185.00,0.00,158.00,27.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.50510697,41.99689357
BANNISTER CTR FOR REHABILITATION AND HEALTH CARE,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415038,135 Dodge St,Providence,02907-2210,401-521-9600,,,,,,,161.00,161.00,0.00,161.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.42504278,41.81389244
BAYBERRY COMMONS,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415080,181 Davis Dr,Pascoag,02859-3507,401-568-0600,,,,,,,110.00,110.00,0.00,110.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.6837757,41.93645258
BAYVIEW REHABILITATION AND HEALTHCARE CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Washington County,RI,415063,860 N Quidnessett Rd,North Kingstown,02852-1000,401-884-1802,,,,,,,120.00,120.00,0.00,120.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.41020798,41.645909
BERKSHIRE PLACE,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415119,455 Douglas Ave,Providence,02908-2542,401-553-8600,,,,,,,220.00,220.00,0.00,220.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.42758987,41.84250926
TOCKWOTTON ON THE WATERFRONT,Skilled Nursing Facilities/Nursing Facility (Distinct Part),Title 18/19,Providence County,RI,415113,500 Waterfront Dr,East Providence,02914-5048,401-272-5280,,,,,,,52.00,52.00,0.00,42.00,10.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.3878433,41.81563592
BRENTWOOD NURSING HOME,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Kent County,RI,415061,4000 Post Rd,Warwick,02886-9200,401-884-8020,,,,,,,96.00,96.00,0.00,96.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.45070355,41.68228805
BRIARCLIFFE MANOR,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415012,49 Old Pocasset Rd,Johnston,02919-3111,401-944-2450,,,,,,,122.00,122.00,0.00,122.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.51476711,41.81603879
MOBILE X-RAY DIAGNOSTICS LLC,Portable X-Rays Supplier,X-Ray,Washington County,RI,41X0009810,141 Fairgrounds Rd,West Kingston,02892-1512,401-294-3587,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.56570545,41.48258078
MOBILEX USA,Portable X-Rays Supplier,X-Ray,Providence County,RI,41X0009801,1206 Hartford Ave,Johnston,02919-7131,401-831-8341,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.48974914,41.82298345
PDI HEALTH RI LLC,Portable X-Rays Supplier,X-Ray,Providence County,RI,41X0009809,10 Dorrance St STE 700,Providence,02903-2014,917-373-4145,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.41196106,41.82390357
CEDAR CREST NURSING CENTRE INC,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415032,125 Scituate Ave,Cranston,02921-1838,401-944-8500,,,,,,,156.00,156.00,0.00,156.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.47980854,41.77886987
BLACKSTONE VALLEY COMMUNITY HEALTH CARE,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411851,1145 Main St,Pawtucket,02860-7825,401-722-0081,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.39912115,41.85807106
BLACKSTONE VALLEY COMMUNITY HEALTH CARE,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411807,39 East Ave,Pawtucket,02860-4003,401-312-9813,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.3848316,41.87651054
BLACKSTONE VALLEY COMMUNITY HEALTH CARE,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411853,42 Park Pl,Pawtucket,02860-4010,401-729-0080,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.38689489,41.87648376
BLACKSTONE VALLEY COMMUNITY HEALTH CARE INC,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411852,1000 Broad St,Central Falls,02863-1507,401-312-9815,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.38781606,41.89345799
"BLACKSTONE VALLEY COMMUNITY HEALTH CARE, INC",Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411843,9 Chestnut St,Central Falls,02863-2005,401-729-0080,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.3879972,41.89282398
